1	1000	10	185960[ms]
NEW	1	1000	2.0E-4	2841[ms]
NEW	1	1000	2.0E-4	2384[ms]
NEW	1	1000	2.0E-4	2822[ms]
NEW	1	1000	2.0E-4	2628[ms]
NEW	1	1000	2.0E-4	2761[ms]
NEW	1	1000	2.0E-4	2415[ms]
NEW	1	1000	2.0E-4	2597[ms]
NEW	1	1000	2.0E-4	3028[ms]
NEW	1	1000	2.0E-4	2893[ms]
NEW	1	1000	2.0E-4	2669[ms]
NEW	1	1000	2.0E-4	2738[ms]
NEW	1	1000	2.0E-4	2719[ms]
NEW	1	1000	2.0E-4	2530[ms]
NEW	1	1000	2.0E-4	2139[ms]
NEW	1	1000	2.0E-4	2522[ms]
NEW	1	1000	2.0E-4	2314[ms]
NEW	1	1000	2.0E-4	2812[ms]
NEW	1	1000	2.0E-4	2563[ms]
NEW	1	1000	2.0E-4	2559[ms]
NEW	1	1000	2.0E-4	2211[ms]
NEW	1	1000	2.0E-4	2462[ms]
NEW	1	1000	2.0E-4	2761[ms]
NEW	1	1000	2.0E-4	2573[ms]
NEW	1	1000	2.0E-4	2919[ms]
NEW	1	1000	2.0E-4	2138[ms]
NEW	1	1000	2.0E-4	2376[ms]
NEW	1	1000	2.0E-4	2372[ms]
NEW	1	1000	2.0E-4	2245[ms]
NEW	1	1000	2.0E-4	2368[ms]
NEW	1	1000	2.0E-4	2246[ms]
NEW	1	1000	2.0E-4	2562[ms]
NEW	1	1000	2.0E-4	2468[ms]
NEW	1	1000	2.0E-4	2406[ms]
NEW	1	1000	2.0E-4	2533[ms]
NEW	1	1000	2.0E-4	2520[ms]
NEW	1	1000	2.0E-4	2686[ms]
NEW	1	1000	2.0E-4	2745[ms]
NEW	1	1000	2.0E-4	2537[ms]
NEW	1	1000	2.0E-4	2731[ms]
NEW	1	1000	2.0E-4	2410[ms]
NEW	1	1000	2.0E-4	2296[ms]
NEW	1	1000	2.0E-4	2722[ms]
NEW	1	1000	2.0E-4	2296[ms]
NEW	1	1000	2.0E-4	2776[ms]
NEW	1	1000	2.0E-4	2926[ms]
NEW	1	1000	2.0E-4	2195[ms]
NEW	1	1000	2.0E-4	2263[ms]
NEW	1	1000	2.0E-4	2671[ms]
NEW	1	1000	2.0E-4	2716[ms]
NEW	1	1000	2.0E-4	2333[ms]
NEW	1	1000	2.0E-4	2495[ms]
NEW	1	1000	2.0E-4	2261[ms]
NEW	1	1000	2.0E-4	2569[ms]
NEW	1	1000	2.0E-4	2327[ms]
NEW	1	1000	2.0E-4	2675[ms]
NEW	1	1000	2.0E-4	2590[ms]
NEW	1	1000	2.0E-4	2550[ms]
NEW	1	1000	2.0E-4	2702[ms]
NEW	1	1000	2.0E-4	2778[ms]
NEW	1	1000	2.0E-4	2307[ms]
NEW	1	1000	2.0E-4	2698[ms]
NEW	1	1000	2.0E-4	2419[ms]
NEW	1	1000	2.0E-4	2450[ms]
NEW	1	1000	2.0E-4	2794[ms]
NEW	1	1000	2.0E-4	2629[ms]
NEW	1	1000	2.0E-4	2504[ms]
NEW	1	1000	2.0E-4	2362[ms]
NEW	1	1000	2.0E-4	2592[ms]
NEW	1	1000	2.0E-4	2530[ms]
NEW	1	1000	2.0E-4	2691[ms]
NEW	1	1000	2.0E-4	2578[ms]
